Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
103,tt0129290,2020-10-10,2020-10-10,,"Patch Adams","Patch Adams",https://www.imdb.com/title/tt0129290/,Movie,6.9,115,1998,"Biography, Comedy, Drama, Romance",127719,1998-12-25,"Tom Shadyac",,
104,tt4807408,2020-10-10,2020-10-10,,"The Best of Enemies","The Best of Enemies",https://www.imdb.com/title/tt4807408/,Movie,7.3,133,2019,"Biography, Drama, History",21170,2019-04-05,"Robin Bissell",,
105,tt1020072,2020-10-10,2020-10-10,,"Selma","Selma",https://www.imdb.com/title/tt1020072/,Movie,7.5,128,2014,"Biography, Drama, History",98133,2015-01-09,"Ava DuVernay",,
106,tt6878306,2020-10-25,2020-10-25,,"News of the World","News of the World",https://www.imdb.com/title/tt6878306/,Movie,6.8,118,2020,"Action, Adventure, Drama, Western",99587,2020-12-25,"Paul Greengrass",,
107,tt8337320,2020-10-25,2020-10-25,,"The Last Vermeer","The Last Vermeer",https://www.imdb.com/title/tt8337320/,Movie,6.7,118,2019,"Drama, War",6417,2020-11-20,"Dan Friedkin",,
108,tt7440726,2020-10-25,2020-10-25,,"Your Honor","Your Honor",https://www.imdb.com/title/tt7440726/,TV Series,7.6,60,2020,"Crime, Drama, Thriller",77978,2020-12-06,,,
109,tt1838556,2020-10-25,2020-10-25,,"Honest Thief","Honest Thief",https://www.imdb.com/title/tt1838556/,Movie,6.0,99,2020,"Action, Crime, Drama, Thriller",61922,2020-10-16,"Mark Williams",,
110,tt2382320,2020-10-25,2020-10-25,,"No Time to Die","No Time to Die",https://www.imdb.com/title/tt2382320/,Movie,7.3,163,2021,"Action, Adventure, Thriller",472042,2021-10-08,"Cary Joji Fukunaga",,
111,tt10384744,2020-11-03,2020-11-03,,"Heroic Losers","La odisea de los giles",https://www.imdb.com/title/tt10384744/,Movie,7.2,116,2019,"Adventure, Comedy, Crime, Drama, History, Thriller",14424,2019-08-15,"Sebastián Borensztein",,
112,tt6011170,2020-12-29,2020-12-29,,"Onoda's War","Onoda's War",https://www.imdb.com/title/tt6011170/,Short,,,2016,"Short, History",0,2016-02-16,"Rhyme Lu",,
113,tt10633456,2021-01-16,2021-01-16,,"Minari","Minari",https://www.imdb.com/title/tt10633456/,Movie,7.4,115,2020,"Drama",105826,2021-02-12,"Lee Isaac Chung",,
114,tt7638348,2021-02-14,2021-02-14,,"Boss Level","Boss Level",https://www.imdb.com/title/tt7638348/,Movie,6.8,100,2020,"Action, Adventure, Comedy, Mystery, Sci-Fi, Thriller",86772,2021-03-05,"Joe Carnahan",,
115,tt0993840,2021-02-28,2021-02-28,,"Army of the Dead","Army of the Dead",https://www.imdb.com/title/tt0993840/,Movie,5.8,148,2021,"Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller, War",197563,2021-05-21,"Zack Snyder",,
116,tt7808566,2021-03-27,2021-03-27,,"Made for Love","Made for Love",https://www.imdb.com/title/tt7808566/,TV Series,6.9,30,2021,"Comedy, Drama, Sci-Fi, Thriller",13439,2021-04-01,,,
117,tt9203586,2021-04-06,2021-04-06,,"Cryptopia: Bitcoin, Blockchains and the Future of the Internet","Cryptopia: Bitcoin, Blockchains and the Future of the Internet",https://www.imdb.com/title/tt9203586/,Movie,6.8,86,2020,"Documentary",1479,2020-05-07,"Torsten Hoffmann, Michael Watchulonis",,
118,tt0369339,2021-04-11,2021-04-11,,"Collateral","Collateral",https://www.imdb.com/title/tt0369339/,Movie,7.5,120,2004,"Action, Crime, Drama, Thriller",457013,2004-08-06,"Michael Mann",,
119,tt0758774,2021-04-11,2021-04-11,,"Body of Lies","Body of Lies",https://www.imdb.com/title/tt0758774/,Movie,7.0,128,2008,"Action, Drama, Thriller",247283,2008-10-10,"Ridley Scott",,
120,tt0036112,2021-05-20,2021-05-20,,"The Life and Death of Colonel Blimp","The Life and Death of Colonel Blimp",https://www.imdb.com/title/tt0036112/,Movie,8.0,163,1943,"Drama, Romance, War",17760,1944-08-30,"Michael Powell, Emeric Pressburger",,
121,tt9620292,2021-05-29,2021-05-29,,"Promising Young Woman","Promising Young Woman",https://www.imdb.com/title/tt9620292/,Movie,7.5,113,2020,"Crime, Drama, Mystery, Thriller",229950,2020-12-25,"Emerald Fennell",,
122,tt9742794,2021-05-29,2021-05-29,,"The Vault","Way Down",https://www.imdb.com/title/tt9742794/,Movie,6.4,118,2021,"Action, Thriller",34289,2021-03-26,"Jaume Balagueró",,
123,tt0114814,2021-07-09,2021-07-09,,"The Usual Suspects","The Usual Suspects",https://www.imdb.com/title/tt0114814/,Movie,8.5,106,1995,"Crime, Drama, Mystery, Thriller",1207563,1995-08-16,"Bryan Singer",,
124,tt0070735,2021-08-29,2021-08-29,,"The Sting","The Sting",https://www.imdb.com/title/tt0070735/,Movie,8.2,129,1973,"Comedy, Crime, Drama",294145,1973-12-25,"George Roy Hill",,
125,tt10696896,2021-09-04,2021-09-04,,"Stillwater","Stillwater",https://www.imdb.com/title/tt10696896/,Movie,6.6,139,2021,"Crime, Drama, Mystery, Thriller",62417,2021-07-30,"Tom McCarthy",,
126,tt3272066,2021-09-16,2021-09-16,,"Reminiscence","Reminiscence",https://www.imdb.com/title/tt3272066/,Movie,5.9,116,2021,"Mystery, Romance, Sci-Fi, Thriller",69733,2021-08-20,"Lisa Joy",,
127,tt4244994,2021-10-24,2021-10-24,,"The Last Duel","The Last Duel",https://www.imdb.com/title/tt4244994/,Movie,7.3,152,2021,"Drama, History, Thriller",199413,2021-10-15,"Ridley Scott",,
128,tt1266020,2021-12-10,2021-12-10,,"Parks and Recreation","Parks and Recreation",https://www.imdb.com/title/tt1266020/,TV Series,8.6,22,2009,"Comedy",307464,2009-04-09,,,
129,tt0758745,2021-12-11,2021-12-11,,"Friday Night Lights","Friday Night Lights",https://www.imdb.com/title/tt0758745/,TV Series,8.7,45,2006,"Drama, Sport",77143,2006-10-03,,,
130,tt1307068,2021-12-26,2021-12-26,,"Seeking a Friend for the End of the World","Seeking a Friend for the End of the World",https://www.imdb.com/title/tt1307068/,Movie,6.7,101,2012,"Adventure, Comedy, Drama, Romance, Sci-Fi",122186,2012-06-22,"Lorene Scafaria",,
131,tt0365748,2021-12-26,2021-12-26,,"Shaun of the Dead","Shaun of the Dead",https://www.imdb.com/title/tt0365748/,Movie,7.8,99,2004,"Comedy, Horror",627126,2004-09-24,"Edgar Wright",,
132,tt1527186,2021-12-26,2021-12-26,,"Melancholia","Melancholia",https://www.imdb.com/title/tt1527186/,Movie,7.1,135,2011,"Drama, Sci-Fi",204652,2011-05-26,"Lars von Trier",,
133,tt3007512,2021-12-26,2021-12-26,,"The Water Diviner","The Water Diviner",https://www.imdb.com/title/tt3007512/,Movie,7.0,111,2014,"Drama, History, War",80036,2014-12-26,"Russell Crowe",,
134,tt2671706,2021-12-26,2021-12-26,,"Fences","Fences",https://www.imdb.com/title/tt2671706/,Movie,7.2,139,2016,"Drama",123220,2016-12-25,"Denzel Washington",,
135,tt1877830,2021-12-29,2021-12-29,,"The Batman","The Batman",https://www.imdb.com/title/tt1877830/,Movie,7.8,176,2022,"Action, Crime, Drama, Mystery, Thriller",895927,2022-03-04,"Matt Reeves",,
136,tt13207508,2022-01-02,2022-01-02,,"Swan Song","Swan Song",https://www.imdb.com/title/tt13207508/,Movie,6.8,116,2021,"Drama, Romance, Sci-Fi, Thriller",18984,2021-12-17,"Benjamin Cleary",,
137,tt10293406,2022-01-18,2022-01-18,,"The Power of the Dog","The Power of the Dog",https://www.imdb.com/title/tt10293406/,Movie,6.8,126,2021,"Drama, Western",202261,2021-12-01,"Jane Campion",,
138,tt10234724,2022-01-22,2022-01-22,,"Moon Knight","Moon Knight",https://www.imdb.com/title/tt10234724/,TV Mini Series,7.3,50,2022,"Action, Adventure, Fantasy",300022,2022-03-30,,,
139,tt4364194,2022-01-22,2022-01-22,,"The Peanut Butter Falcon","The Peanut Butter Falcon",https://www.imdb.com/title/tt4364194/,Movie,7.6,97,2019,"Adventure, Comedy, Drama",116473,2019-08-23,"Tyler Nilson, Michael Schwartz",,
140,tt1515091,2022-01-22,2022-01-22,,"Sherlock Holmes: A Game of Shadows","Sherlock Holmes: A Game of Shadows",https://www.imdb.com/title/tt1515091/,Movie,7.4,129,2011,"Action, Adventure, Mystery",496184,2011-12-16,"Guy Ritchie",,
141,tt0970179,2022-01-22,2022-01-22,,"Hugo","Hugo",https://www.imdb.com/title/tt0970179/,Movie,7.5,126,2011,"Adventure, Drama, Family, Fantasy, Mystery",345381,2011-11-23,"Martin Scorsese",,
142,tt3967856,2022-01-22,2022-01-22,,"Okja","Okja",https://www.imdb.com/title/tt3967856/,Movie,7.3,120,2017,"Action, Adventure, Drama, Sci-Fi",139334,2017-06-28,"Bong Joon Ho",,
143,tt1568911,2022-01-22,2022-01-22,,"War Horse","War Horse",https://www.imdb.com/title/tt1568911/,Movie,7.2,146,2011,"Adventure, Drama, War",170791,2011-12-25,"Steven Spielberg",,
144,tt0434409,2022-01-22,2022-01-22,,"V for Vendetta","V for Vendetta",https://www.imdb.com/title/tt0434409/,Movie,8.1,132,2005,"Action, Drama, Sci-Fi, Thriller",1227008,2006-03-17,"James McTeigue",,
145,tt0066921,2022-01-22,2022-01-22,,"A Clockwork Orange","A Clockwork Orange",https://www.imdb.com/title/tt0066921/,Movie,8.2,136,1971,"Crime, Sci-Fi",921194,1972-02-02,"Stanley Kubrick",,
146,tt1334260,2022-01-22,2022-01-22,,"Never Let Me Go","Never Let Me Go",https://www.imdb.com/title/tt1334260/,Movie,7.1,103,2010,"Drama, Romance",157976,2010-10-15,"Mark Romanek",,
147,tt0420223,2022-01-22,2022-01-22,,"Stranger Than Fiction","Stranger Than Fiction",https://www.imdb.com/title/tt0420223/,Movie,7.5,113,2006,"Comedy, Drama, Fantasy, Romance",242649,2006-11-10,"Marc Forster",,
148,tt0366627,2022-01-22,2022-01-22,,"The Jacket","The Jacket",https://www.imdb.com/title/tt0366627/,Movie,7.1,103,2005,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",123018,2005-03-04,"John Maybury",,
149,tt0381061,2022-01-22,2022-01-22,,"Casino Royale","Casino Royale",https://www.imdb.com/title/tt0381061/,Movie,8.0,144,2006,"Action, Adventure, Thriller",726058,2006-11-17,"Martin Campbell",,
150,tt13521006,2022-01-23,2022-01-23,,"Beau Is Afraid","Beau Is Afraid",https://www.imdb.com/title/tt13521006/,Movie,6.6,179,2023,"Comedy, Drama",75132,2023-04-21,"Ari Aster",,
151,tt7475578,2022-01-23,2022-01-23,,"Munich: The Edge of War","Munich: The Edge of War",https://www.imdb.com/title/tt7475578/,Movie,6.8,130,2021,"Biography, Drama, History, Thriller",38342,2022-01-21,"Christian Schwochow",,
152,tt2267998,2022-01-23,2022-01-23,,"Gone Girl","Gone Girl",https://www.imdb.com/title/tt2267998/,Movie,8.1,149,2014,"Drama, Mystery, Thriller",1138955,2014-10-03,"David Fincher",,
153,tt0332452,2022-01-23,2022-01-23,,"Troy","Troy",https://www.imdb.com/title/tt0332452/,Movie,7.3,163,2004,"Action, Adventure, Drama",601637,2004-05-14,"Wolfgang Petersen",,
154,tt0450259,2022-01-23,2022-01-23,,"Blood Diamond","Blood Diamond",https://www.imdb.com/title/tt0450259/,Movie,8.0,143,2006,"Adventure, Drama, Thriller",614401,2006-12-08,"Edward Zwick",,
155,tt0187393,2022-01-23,2022-01-23,,"The Patriot","The Patriot",https://www.imdb.com/title/tt0187393/,Movie,7.2,165,2000,"Action, Drama, War",307179,2000-06-28,"Roland Emmerich",,
156,tt0325710,2022-01-23,2022-01-23,,"The Last Samurai","The Last Samurai",https://www.imdb.com/title/tt0325710/,Movie,7.8,154,2003,"Action, Drama",494512,2003-12-05,"Edward Zwick",,
157,tt0277434,2022-01-23,2022-01-23,,"We Were Soldiers","We Were Soldiers",https://www.imdb.com/title/tt0277434/,Movie,7.2,138,2002,"Action, Drama, History, War",157123,2002-03-01,"Randall Wallace",,
158,tt1855199,2022-01-23,2022-01-23,,"End of Watch","End of Watch",https://www.imdb.com/title/tt1855199/,Movie,7.6,109,2012,"Action, Crime, Drama, Thriller",285463,2012-09-21,"David Ayer",,
159,tt0246578,2022-01-23,2022-01-23,,"Donnie Darko","Donnie Darko",https://www.imdb.com/title/tt0246578/,Movie,8.0,113,2001,"Drama, Mystery, Sci-Fi, Thriller",893305,2001-01-19,"Richard Kelly",,
160,tt0215750,2022-01-23,2022-01-23,,"Enemy at the Gates","Enemy at the Gates",https://www.imdb.com/title/tt0215750/,Movie,7.5,131,2001,"Action, Drama, War",289069,2001-03-16,"Jean-Jacques Annaud",,
161,tt0206634,2022-01-23,2022-01-23,,"Children of Men","Children of Men",https://www.imdb.com/title/tt0206634/,Movie,7.9,109,2006,"Drama, Sci-Fi, Thriller",554918,2007-01-05,"Alfonso Cuarón",,
162,tt0289879,2022-01-23,2022-01-23,,"The Butterfly Effect","The Butterfly Effect",https://www.imdb.com/title/tt0289879/,Movie,7.6,113,2004,"Drama, Sci-Fi, Thriller",546358,2004-01-23,"Eric Bress, J. Mackye Gruber",,
163,tt0401792,2022-01-23,2022-01-23,,"Sin City","Sin City",https://www.imdb.com/title/tt0401792/,Movie,8.0,124,2005,"Crime, Thriller",813080,2005-04-01,"Frank Miller, Quentin Tarantino, Robert Rodriguez",,
164,tt0119116,2022-01-23,2022-01-23,,"The Fifth Element","The Fifth Element",https://www.imdb.com/title/tt0119116/,Movie,7.6,126,1997,"Action, Adventure, Sci-Fi",533415,1997-05-09,"Luc Besson",,
165,tt0116695,2022-01-23,2022-01-23,,"Jerry Maguire","Jerry Maguire",https://www.imdb.com/title/tt0116695/,Movie,7.3,139,1996,"Comedy, Drama, Romance, Sport",303184,1996-12-13,"Cameron Crowe",,
166,tt1798709,2022-01-23,2022-01-23,,"Her","Her",https://www.imdb.com/title/tt1798709/,Movie,8.0,126,2013,"Drama, Romance, Sci-Fi",711983,2014-01-10,"Spike Jonze",,
167,tt0338751,2022-01-23,2022-01-23,,"The Aviator","The Aviator",https://www.imdb.com/title/tt0338751/,Movie,7.5,170,2004,"Biography, Drama",399131,2004-12-25,"Martin Scorsese",,
168,tt4034228,2022-01-23,2022-01-23,,"Manchester by the Sea","Manchester by the Sea",https://www.imdb.com/title/tt4034228/,Movie,7.8,137,2016,"Drama",343353,2016-12-16,"Kenneth Lonergan",,
169,tt1037705,2022-01-23,2022-01-23,,"The Book of Eli","The Book of Eli",https://www.imdb.com/title/tt1037705/,Movie,6.8,118,2010,"Action, Adventure, Drama, Thriller",355149,2010-01-15,"Albert Hughes, Allen Hughes",,
170,tt5028002,2022-01-27,2022-01-27,,"StartUp","StartUp",https://www.imdb.com/title/tt5028002/,TV Series,7.8,44,2016,"Crime, Thriller",31057,2016-09-06,,,
171,tt0452623,2022-01-29,2022-01-29,,"Gone Baby Gone","Gone Baby Gone",https://www.imdb.com/title/tt0452623/,Movie,7.6,114,2007,"Crime, Drama, Mystery, Thriller",304596,2007-10-19,"Ben Affleck",,
172,tt0488120,2022-01-29,2022-01-29,,"Fracture","Fracture",https://www.imdb.com/title/tt0488120/,Movie,7.2,113,2007,"Crime, Drama, Thriller",230161,2007-04-20,"Gregory Hoblit",,
173,tt0790636,2022-01-29,2022-01-29,,"Dallas Buyers Club","Dallas Buyers Club",https://www.imdb.com/title/tt0790636/,Movie,7.9,117,2013,"Biography, Drama",539565,2013-11-22,"Jean-Marc Vallée",,
174,tt1403865,2022-01-29,2022-01-29,,"True Grit","True Grit",https://www.imdb.com/title/tt1403865/,Movie,7.6,110,2010,"Drama, Western",370240,2010-12-22,"Ethan Coen, Joel Coen",,
175,tt0167404,2022-01-29,2022-01-29,,"The Sixth Sense","The Sixth Sense",https://www.imdb.com/title/tt0167404/,Movie,8.2,107,1999,"Drama, Mystery, Thriller",1115332,1999-08-06,"M. Night Shyamalan",,
176,tt2404435,2022-01-29,2022-01-29,,"The Magnificent Seven","The Magnificent Seven",https://www.imdb.com/title/tt2404435/,Movie,6.9,132,2016,"Action, Adventure, Drama, Western",240453,2016-09-23,"Antoine Fuqua",,
177,tt0181689,2022-01-29,2022-01-29,,"Minority Report","Minority Report",https://www.imdb.com/title/tt0181689/,Movie,7.6,145,2002,"Action, Crime, Mystery, Sci-Fi, Thriller",609685,2002-06-21,"Steven Spielberg",,
178,tt0790724,2022-01-29,2022-01-29,,"Jack Reacher","Jack Reacher",https://www.imdb.com/title/tt0790724/,Movie,7.0,130,2012,"Action, Thriller",383611,2012-12-21,"Christopher McQuarrie",,
179,tt1057500,2022-01-29,2022-01-29,,"Invictus","Invictus",https://www.imdb.com/title/tt1057500/,Movie,7.3,134,2009,"Biography, Drama, History, Sport",172382,2009-12-11,"Clint Eastwood",,
180,tt0361862,2022-01-29,2022-01-29,,"The Machinist","The Machinist",https://www.imdb.com/title/tt0361862/,Movie,7.6,101,2004,"Drama, Thriller",434084,2004-12-03,"Brad Anderson",,
181,tt1670345,2022-01-29,2022-01-29,,"Now You See Me","Now You See Me",https://www.imdb.com/title/tt1670345/,Movie,7.2,115,2013,"Crime, Mystery, Thriller",749536,2013-05-31,"Louis Leterrier",,
182,tt0120591,2022-01-29,2022-01-29,,"Armageddon","Armageddon",https://www.imdb.com/title/tt0120591/,Movie,6.7,151,1998,"Action, Adventure, Sci-Fi, Thriller",470927,1998-07-01,"Michael Bay",,
183,tt0405422,2022-01-29,2022-01-29,,"The 40-Year-Old Virgin","The 40 Year Old Virgin",https://www.imdb.com/title/tt0405422/,Movie,7.1,116,2005,"Comedy, Romance",491368,2005-08-19,"Judd Apatow",,
184,tt0382625,2022-01-29,2022-01-29,,"The Da Vinci Code","The Da Vinci Code",https://www.imdb.com/title/tt0382625/,Movie,6.6,149,2006,"Mystery, Thriller",477376,2006-05-19,"Ron Howard",,
185,tt0258000,2022-01-29,2022-01-29,,"Panic Room","Panic Room",https://www.imdb.com/title/tt0258000/,Movie,6.8,112,2002,"Crime, Drama, Thriller",309993,2002-03-29,"David Fincher",,
186,tt0443543,2022-01-29,2022-01-29,,"The Illusionist","The Illusionist",https://www.imdb.com/title/tt0443543/,Movie,7.5,110,2006,"Drama, Fantasy, Mystery, Romance, Thriller",400024,2006-09-01,"Neil Burger",,
187,tt0119174,2022-01-29,2022-01-29,,"The Game","The Game",https://www.imdb.com/title/tt0119174/,Movie,7.7,129,1997,"Drama, Mystery, Thriller",459334,1997-09-12,"David Fincher",,
188,tt2582846,2022-01-29,2022-01-29,,"The Fault in Our Stars","The Fault in Our Stars",https://www.imdb.com/title/tt2582846/,Movie,7.6,126,2014,"Drama, Romance",418722,2014-06-06,"Josh Boone",,
189,tt0825232,2022-01-29,2022-01-29,,"The Bucket List","The Bucket List",https://www.imdb.com/title/tt0825232/,Movie,7.3,97,2007,"Adventure, Comedy, Drama",268008,2008-01-11,"Rob Reiner",,
190,tt1306980,2022-01-29,2022-01-29,,"50/50","50/50",https://www.imdb.com/title/tt1306980/,Movie,7.6,100,2011,"Comedy, Drama, Romance",349496,2011-09-30,"Jonathan Levine",,
191,tt3316960,2022-01-29,2022-01-29,,"Still Alice","Still Alice",https://www.imdb.com/title/tt3316960/,Movie,7.5,101,2014,"Drama",148599,2015-02-20,"Richard Glatzer, Wash Westmoreland",,
192,tt0110912,2022-01-29,2022-01-29,,"Pulp Fiction","Pulp Fiction",https://www.imdb.com/title/tt0110912/,Movie,8.8,154,1994,"Crime, Drama",2371386,1994-10-14,"Quentin Tarantino",,
193,tt8041270,2022-02-12,2022-02-12,,"Jurassic World: Dominion","Jurassic World: Dominion",https://www.imdb.com/title/tt8041270/,Movie,5.6,147,2022,"Action, Adventure, Sci-Fi, Thriller",236394,2022-06-10,"Colin Trevorrow",,
194,tt0814314,2022-02-12,2022-02-12,,"Seven Pounds","Seven Pounds",https://www.imdb.com/title/tt0814314/,Movie,7.6,123,2008,"Drama, Mystery, Thriller",322693,2008-12-19,"Gabriele Muccino",,
195,tt0431308,2022-02-12,2022-02-12,,"P.S. I Love You","P.S. I Love You",https://www.imdb.com/title/tt0431308/,Movie,7.0,126,2007,"Comedy, Drama, Romance",223360,2007-12-21,"Richard LaGravenese",,
196,tt0118799,2022-02-12,2022-02-12,,"Life Is Beautiful","La vita è bella",https://www.imdb.com/title/tt0118799/,Movie,8.6,116,1997,"Comedy, Drama, Romance, War",790674,1997-12-20,"Roberto Benigni",,
197,tt0878804,2022-02-20,2022-02-20,,"The Blind Side","The Blind Side",https://www.imdb.com/title/tt0878804/,Movie,7.6,129,2009,"Biography, Drama, Sport",379405,2009-11-20,"John Lee Hancock",,
198,tt0964517,2022-02-20,2022-02-20,,"The Fighter","The Fighter",https://www.imdb.com/title/tt0964517/,Movie,7.8,116,2010,"Action, Biography, Drama, Sport",402363,2010-12-17,"David O. Russell",,
199,tt0094291,2022-02-20,2022-02-20,,"Wall Street","Wall Street",https://www.imdb.com/title/tt0094291/,Movie,7.3,126,1987,"Crime, Drama",171787,1987-12-11,"Oliver Stone",,
200,tt7826376,2022-03-02,2022-03-02,,"Upload","Upload",https://www.imdb.com/title/tt7826376/,TV Series,7.8,30,2020,"Comedy, Mystery, Sci-Fi",87352,2020-05-01,,,
201,tt13873302,2022-03-02,2022-03-02,,"Against the Ice","Against the Ice",https://www.imdb.com/title/tt13873302/,Movie,6.5,102,2022,"Adventure, Drama, History",30525,2022-03-02,"Peter Flinth",,
202,tt0332280,2022-03-06,2022-03-06,,"The Notebook","The Notebook",https://www.imdb.com/title/tt0332280/,Movie,7.8,123,2004,"Drama, Romance",667624,2004-06-25,"Nick Cassavetes",,
203,tt0368447,2022-04-27,2022-04-27,,"The Village","The Village",https://www.imdb.com/title/tt0368447/,Movie,6.6,108,2004,"Drama, Mystery, Thriller",291711,2004-07-30,"M. Night Shyamalan",,
